experiment,d_des,sigma,sensing_range,swarm_size,sensing_ratio,following_mean,following_std,engulfing_mean,engulfing_std,separating_mean,separating_std,avg_distance_mean,avg_distance_std,min_distance_mean,max_distance_mean,std_distance_mean,total_behaviors,interaction_index,pursuit_success,dynamic_range,behavior_consistency,distance_stability,d_des_cat,swarm_size_cat,sensing_type,objective_score
d1.2_sgreater_n20_08-11-2025,1.2,0.8485281374238569,2.592,20,2.16,0.0,0.0,1.0,0.0,0.0,0.0,0.4409687828946913,0.05182197967825187,0.015686672016530533,3.2629958233178016,0.6905436872491878,1.0,1.0,0.9990009990009991,3.247309151301271,1.0,1.2649522298756772,1.2,20,greater,0.6000000000000001
d0.7_sequal_n5_08-11-2025,0.7,0.4949747468305832,1.26,5,1.8,1.0,0.0,0.0,0.0,0.0,0.0,4.394170604633621,0.99656342800127,2.4009137429761065,6.136174001217843,1.224132031426986,1.0,1.0,0.0,3.7352602582417367,1.0,0.7552116981282625,0.7,5,equal,0.6000000000000001
d1.2_sgreater_n5_08-11-2025,1.2,0.8485281374238569,2.592,5,2.16,0.6666666666666666,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,1.061885135987463,0.49116313021148966,0.026156246149847833,2.725581968563365,0.8531702533815588,2.3333333333333335,2.3333333333333335,0.7139797229758675,2.699425722413517,0.4142135623730951,1.0491305162454487,1.2,5,greater,1.4000000000000001
d0.7_sgreater_n5_08-11-2025,0.7,0.4949747468305832,1.512,5,2.16,1.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,7.753825552063336,4.006170453161824,2.0776543938200365,13.548016839467515,3.5913406071423117,1.6666666666666665,0.6000000000000001,0.0,11.470362445647478,0.6796227589829592,0.2709042882862441,0.7,5,greater,0.1866666666666667
d1.2_sless_n20_08-11-2025,1.2,0.8485281374238569,1.7280000000000002,20,1.4400000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.5342234171142717,0.23633240505197664,0.150363095897831,3.245295278264605,0.6345339956753303,1.0,1.0,0.9990009990009991,3.094932182366774,1.0,1.3614073764967138,1.2,20,less,0.6000000000000001
d2.0_sless_n10_08-11-2025,2.0,1.414213562373095,2.8800000000000003,10,1.4400000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.8563731632084427,0.05722774691260217,0.14281106045592343,2.9125695695771934,0.5643939484846389,1.0,1.0,0.9990009990009991,2.76975850912127,1.0,1.5051311082540972,2.0,10,less,0.6000000000000001
d2.0_sgreater_n5_08-11-2025,2.0,1.414213562373095,4.32,5,2.16,1.6666666666666667,0.9428090415820634,1.0,1.4142135623730951,0.0,0.0,3.5748450865442325,1.1060881552459578,2.291028802040906,4.2261896028243875,0.47289764447739335,2.666666666666667,2.666666666666667,0.374859427714607,1.9351608007834815,0.29788301062430306,1.745512500600725,2.0,5,greater,1.6000000000000003
d0.7_sgreater_n20_08-11-2025,0.7,0.4949747468305832,1.512,20,2.16,0.6666666666666666,0.9428090415820634,1.3333333333333333,0.4714045207910317,0.0,0.0,1.3116204103922884,0.5222191393629432,0.40095231081097804,3.220564852962772,0.6860117089771381,2.0,2.0,0.6663334999167083,2.819612542151794,0.4142135623730951,1.2722456785043719,0.7,20,greater,1.2000000000000002
d1.2_sequal_n5_08-11-2025,1.2,0.8485281374238569,2.16,5,1.8000000000000003,4.0,0.816496580927726,4.333333333333333,1.247219128924647,0.0,0.0,1.97198880009411,0.15341707615127362,0.9146491672594336,2.897913343322149,0.553394180064286,8.333333333333332,8.333333333333332,0.5199376074871016,1.9832641760627152,0.3264010419714124,1.5304697080430258,1.2,5,equal,5.0
d2.0_sequal_n10_08-11-2025,2.0,1.414213562373095,3.6,10,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0.5117788565403385,0.04169803906527418,0.015774978065077067,3.05080667468544,0.8569926349577415,1.0,1.0,0.9990009990009991,3.035031696620363,1.0,1.0449401212415366,2.0,10,equal,0.6000000000000001
d2.0_sgreater_n20_08-11-2025,2.0,1.414213562373095,4.32,20,2.16,0.0,0.0,1.0,0.0,0.0,0.0,0.5945590643099954,0.12057344814606075,0.08913108590513741,3.3505429567637055,0.9426242281600986,1.0,1.0,0.9990009990009991,3.261411870858568,1.0,0.9591183218182865,2.0,20,greater,0.6000000000000001
d2.0_sequal_n5_08-11-2025,2.0,1.414213562373095,3.6,5,1.8,1.0,0.0,0.0,0.0,0.0,0.0,3.773401817606375,0.17894402111326616,2.6788445147904256,4.193137220668194,0.3047650670824626,1.0,1.0,0.0,1.5142927058777684,1.0,2.4705689332530034,2.0,5,equal,0.6000000000000001
d0.7_sequal_n10_08-11-2025,0.7,0.4949747468305832,1.26,10,1.8,1.0,0.0,0.0,0.0,0.0,0.0,3.626736020118809,0.9104550889498588,2.649906672829572,4.324044434528157,0.481238910847237,1.0,1.0,0.0,1.674137761698585,1.0,1.7204629307118482,0.7,10,equal,0.6000000000000001
d0.7_sless_n20_08-11-2025,0.7,0.4949747468305832,1.008,20,1.4400000000000002,1.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,2.701951239673578,0.4688225309335374,2.235258265225959,3.2821820279110425,0.33268022197391783,1.3333333333333333,1.3333333333333333,0.2498126405196103,1.0469237626850836,0.6796227589829592,2.3111756655710516,0.7,20,less,0.8
