trial	time_sec	distance
1	0	5.170390
1	1	5.143799
1	2	5.026125
1	3	4.863870
1	4	4.673237
1	5	4.494645
1	6	4.329584
1	7	4.102123
1	8	3.944972
1	9	3.806980
1	10	3.708593
1	11	3.630263
1	12	3.589243
1	13	3.551456
1	14	3.552642
1	15	3.522773
1	16	3.449249
1	17	3.434060
1	18	3.410747
1	19	3.382155
1	20	3.384192
1	21	3.365220
1	22	3.355712
1	23	3.352835
1	24	3.345401
1	25	3.300572
1	26	3.279158
1	27	3.262153
1	28	3.210976
1	29	3.225578
1	30	3.199997
1	31	3.175059
1	32	3.142734
1	33	3.100282
1	34	3.046588
1	35	3.027500
1	36	2.982756
1	37	2.965498
1	38	2.931085
1	39	2.918222
1	40	2.924059
1	41	2.934207
1	42	2.929941
1	43	2.934098
1	44	2.931140
1	45	2.893952
1	46	2.897978
1	47	2.857009
1	48	2.829627
1	49	2.821341
1	50	2.789101
1	51	2.739669
1	52	2.716041
1	53	2.685785
1	54	2.638748
1	55	2.565675
1	56	2.512479
1	57	2.456068
1	58	2.377147
1	59	2.326854
1	60	2.305770
1	61	2.260548
1	62	2.228248
1	63	2.175056
1	64	2.119415
1	65	2.067759
1	66	2.002484
1	67	1.963417
1	68	1.918693
1	69	1.847548
1	70	1.803150
1	71	1.758085
1	72	1.674996
1	73	1.603265
1	74	1.502847
1	75	1.439034
1	76	1.372934
1	77	1.293000
1	78	1.254837
1	79	1.171709
1	80	1.081868
1	81	1.026965
1	82	0.957188
1	83	0.888327
1	84	0.819161
1	85	0.760493
1	86	0.694132
1	87	0.655577
1	88	0.633643
1	89	0.577497
1	90	0.516779
1	91	0.463906
1	92	0.410302
1	93	0.413351
1	94	0.416008
1	95	0.427441
1	96	0.437089
1	97	0.460658
1	98	0.442523
1	99	0.473151
1	100	0.455318
1	101	0.454524
1	102	0.452924
1	103	0.419090
1	104	0.408002
1	105	0.353278
1	106	0.357837
1	107	0.320331
1	108	0.295975
1	109	0.267820
1	110	0.193844
1	111	0.192087
1	112	0.195061
1	113	0.154428
1	114	0.179589
1	115	0.179380
1	116	0.141400
1	117	0.135896
1	118	0.121221
1	119	0.152417
1	120	0.152517
1	121	0.143262
1	122	0.134445
1	123	0.143969
1	124	0.154378
1	125	0.126767
1	126	0.089874
1	127	0.103089
1	128	0.055519
1	129	0.098144
1	130	0.062319
1	131	0.081568
1	132	0.073782
1	133	0.087403
1	134	0.136765
1	135	0.158072
1	136	0.224821
1	137	0.199485
1	138	0.191078
1	139	0.186900
1	140	0.223831
1	141	0.229340
1	142	0.258822
1	143	0.288295
1	144	0.301095
1	145	0.324530
1	146	0.329765
1	147	0.375052
1	148	0.400850
1	149	0.399833
1	150	0.438863
1	151	0.434209
1	152	0.415633
1	153	0.413008
1	154	0.423390
1	155	0.405678
1	156	0.405432
1	157	0.419382
1	158	0.389362
1	159	0.418861
1	160	0.376962
1	161	0.383416
1	162	0.371250
1	163	0.407878
1	164	0.388921
1	165	0.391549
1	166	0.385279
1	167	0.371746
1	168	0.382156
1	169	0.359341
1	170	0.360960
1	171	0.358831
1	172	0.319679
1	173	0.311461
1	174	0.304637
1	175	0.269218
1	176	0.236930
1	177	0.212158
1	178	0.193426
1	179	0.190919
1	180	0.181197
1	181	0.158958
1	182	0.139049
1	183	0.126220
1	184	0.080151
1	185	0.078032
1	186	0.088533
1	187	0.098984
1	188	0.121302
1	189	0.119116
1	190	0.151811
1	191	0.166642
1	192	0.181137
1	193	0.158181
1	194	0.156707
1	195	0.164558
1	196	0.205917
1	197	0.213539
1	198	0.192383
1	199	0.213484
1	200	0.183238
1	201	0.125642
1	202	0.087289
1	203	0.062086
1	204	0.108548
1	205	0.104592
1	206	0.143981
1	207	0.218534
1	208	0.276025
1	209	0.329198
1	210	0.372966
1	211	0.374158
1	212	0.403501
1	213	0.398545
1	214	0.423245
1	215	0.408602
1	216	0.372956
1	217	0.356974
1	218	0.349074
1	219	0.387792
1	220	0.434541
1	221	0.471908
1	222	0.496553
1	223	0.526284
1	224	0.537422
1	225	0.548852
1	226	0.556296
1	227	0.542144
1	228	0.504692
1	229	0.493895
1	230	0.490661
1	231	0.497367
1	232	0.438623
1	233	0.444933
1	234	0.448677
1	235	0.407542
1	236	0.424047
1	237	0.384748
1	238	0.364581
1	239	0.335650
1	240	0.330925
1	241	0.294370
1	242	0.307740
1	243	0.294894
1	244	0.298202
1	245	0.285485
1	246	0.284639
1	247	0.307283
1	248	0.313646
1	249	0.315576
1	250	0.306096
1	251	0.289072
1	252	0.284641
1	253	0.239812
1	254	0.235919
1	255	0.218558
