trial	time_sec	distance
1	0	5.123649
1	1	5.032432
1	2	4.829164
1	3	4.650636
1	4	4.508233
1	5	4.319374
1	6	4.136434
1	7	3.948793
1	8	3.780999
1	9	3.671747
1	10	3.545417
1	11	3.439149
1	12	3.399436
1	13	3.342813
1	14	3.327044
1	15	3.299335
1	16	3.289776
1	17	3.279555
1	18	3.278429
1	19	3.288878
1	20	3.269863
1	21	3.240356
1	22	3.222737
1	23	3.212386
1	24	3.183601
1	25	3.158268
1	26	3.134444
1	27	3.140142
1	28	3.123593
1	29	3.087736
1	30	3.076717
1	31	3.084787
1	32	3.024182
1	33	3.012777
1	34	3.015588
1	35	2.987381
1	36	2.999252
1	37	2.949437
1	38	2.926331
1	39	2.930906
1	40	2.909820
1	41	2.898090
1	42	2.916051
1	43	2.896341
1	44	2.899322
1	45	2.840504
1	46	2.830059
1	47	2.821574
1	48	2.802384
1	49	2.781387
1	50	2.750135
1	51	2.704544
1	52	2.678920
1	53	2.678866
1	54	2.682091
1	55	2.673089
1	56	2.650967
1	57	2.651552
1	58	2.679758
1	59	2.644478
1	60	2.583437
1	61	2.562420
1	62	2.545842
1	63	2.567805
1	64	2.596247
1	65	2.614794
1	66	2.586125
1	67	2.551706
1	68	2.497261
1	69	2.448135
1	70	2.419915
1	71	2.389998
1	72	2.386367
1	73	2.393635
1	74	2.370826
1	75	2.333675
1	76	2.281902
1	77	2.269472
1	78	2.283158
1	79	2.316848
1	80	2.335528
1	81	2.344914
1	82	2.321908
1	83	2.295978
1	84	2.245460
1	85	2.227736
1	86	2.186595
1	87	2.126026
1	88	2.051681
1	89	2.007944
1	90	1.966929
1	91	1.946932
1	92	1.900959
1	93	1.892658
1	94	1.901153
1	95	1.840814
1	96	1.810072
1	97	1.765828
1	98	1.670150
1	99	1.586250
1	100	1.499570
1	101	1.408314
1	102	1.326412
1	103	1.229735
1	104	1.150524
1	105	1.059647
1	106	0.949541
1	107	0.888532
1	108	0.840459
1	109	0.839685
1	110	0.856960
1	111	0.872688
1	112	0.898450
1	113	0.903372
1	114	0.898869
1	115	0.890279
1	116	0.858722
1	117	0.845457
1	118	0.808152
1	119	0.778744
1	120	0.758316
1	121	0.717685
1	122	0.673189
1	123	0.655123
1	124	0.618170
1	125	0.595454
1	126	0.576192
1	127	0.552859
1	128	0.544847
1	129	0.483658
1	130	0.464068
1	131	0.446519
1	132	0.443091
1	133	0.393251
1	134	0.367543
1	135	0.411748
1	136	0.378862
1	137	0.366082
1	138	0.330738
1	139	0.331040
1	140	0.303555
1	141	0.339991
1	142	0.284137
1	143	0.262475
1	144	0.282090
1	145	0.258100
1	146	0.239485
1	147	0.252819
1	148	0.236066
1	149	0.290881
1	150	0.292134
1	151	0.253988
1	152	0.262864
1	153	0.246640
1	154	0.256264
1	155	0.263810
1	156	0.274491
1	157	0.278857
1	158	0.285955
1	159	0.286125
1	160	0.280068
1	161	0.285031
1	162	0.290818
1	163	0.295718
1	164	0.283311
1	165	0.287094
1	166	0.285891
1	167	0.275238
1	168	0.290172
1	169	0.296686
1	170	0.316059
1	171	0.314256
1	172	0.318643
1	173	0.341185
1	174	0.360474
1	175	0.328775
1	176	0.316880
1	177	0.297421
1	178	0.300494
1	179	0.290593
1	180	0.316138
1	181	0.326913
1	182	0.345829
1	183	0.381886
1	184	0.430223
1	185	0.462396
1	186	0.464562
1	187	0.488040
1	188	0.476721
1	189	0.468531
1	190	0.425011
1	191	0.424148
1	192	0.395220
1	193	0.368539
1	194	0.334935
1	195	0.343256
1	196	0.342811
1	197	0.350067
1	198	0.357689
1	199	0.384337
1	200	0.380671
1	201	0.418636
1	202	0.399997
1	203	0.444448
1	204	0.450110
1	205	0.453867
1	206	0.480161
1	207	0.462305
1	208	0.454910
1	209	0.388913
1	210	0.408407
1	211	0.402669
1	212	0.411831
1	213	0.416083
1	214	0.421106
1	215	0.432599
1	216	0.385461
1	217	0.380116
1	218	0.352044
1	219	0.373630
1	220	0.367317
1	221	0.362538
1	222	0.363218
1	223	0.354702
1	224	0.361786
1	225	0.376814
1	226	0.349135
1	227	0.348012
1	228	0.364590
1	229	0.362485
1	230	0.333367
1	231	0.322719
1	232	0.304072
1	233	0.310672
1	234	0.302400
1	235	0.279198
1	236	0.276403
1	237	0.256411
1	238	0.250969
1	239	0.223520
1	240	0.215571
1	241	0.199083
1	242	0.174117
1	243	0.175494
1	244	0.130806
1	245	0.110164
1	246	0.104848
1	247	0.068317
1	248	0.078865
1	249	0.117651
1	250	0.184675
1	251	0.247275
1	252	0.284153
1	253	0.343205
1	254	0.396639
1	255	0.447404
1	256	0.503423
1	257	0.545274
1	258	0.556102
1	259	0.542222
1	260	0.496306
1	261	0.487266
1	262	0.457519
1	263	0.415678
1	264	0.361282
1	265	0.308999
1	266	0.249107
1	267	0.227457
1	268	0.150082
