trial	time_sec	distance
1	0	6.094486
1	1	6.016124
1	2	5.861293
1	3	5.652536
1	4	5.423745
1	5	5.200679
1	6	5.031021
1	7	4.829635
1	8	4.686558
1	9	4.530228
1	10	4.410003
1	11	4.294408
1	12	4.201248
1	13	4.139410
1	14	4.075679
1	15	4.029852
1	16	3.955072
1	17	3.860189
1	18	3.798744
1	19	3.702847
1	20	3.658477
1	21	3.593711
1	22	3.530740
1	23	3.467751
1	24	3.408199
1	25	3.330484
1	26	3.216088
1	27	3.161020
1	28	3.058249
1	29	3.013027
1	30	2.957700
1	31	2.909799
1	32	2.903095
1	33	2.908603
1	34	2.911191
1	35	2.880739
1	36	2.848652
1	37	2.808657
1	38	2.799858
1	39	2.739277
1	40	2.710618
1	41	2.700163
1	42	2.660831
1	43	2.622382
1	44	2.600981
1	45	2.573316
1	46	2.560208
1	47	2.551228
1	48	2.529961
1	49	2.526139
1	50	2.509776
1	51	2.496785
1	52	2.505020
1	53	2.497446
1	54	2.509901
1	55	2.550521
1	56	2.556525
1	57	2.591644
1	58	2.597544
1	59	2.580273
1	60	2.570796
1	61	2.565617
1	62	2.554659
1	63	2.492336
1	64	2.450907
1	65	2.431247
1	66	2.446144
1	67	2.451014
1	68	2.433277
1	69	2.401250
1	70	2.404256
1	71	2.371998
1	72	2.360552
1	73	2.319017
1	74	2.315216
1	75	2.275628
1	76	2.246487
1	77	2.199693
1	78	2.187571
1	79	2.180204
1	80	2.151244
1	81	2.139131
1	82	2.124447
1	83	2.149133
1	84	2.192341
1	85	2.213904
1	86	2.238509
1	87	2.268293
1	88	2.299609
1	89	2.303552
1	90	2.314347
1	91	2.322034
1	92	2.336201
1	93	2.333049
1	94	2.344176
1	95	2.326452
1	96	2.335318
1	97	2.332969
1	98	2.348386
1	99	2.354852
1	100	2.353906
1	101	2.355583
1	102	2.339745
1	103	2.319881
1	104	2.298289
1	105	2.275058
1	106	2.274418
1	107	2.275748
1	108	2.270589
1	109	2.282493
1	110	2.288738
1	111	2.287383
1	112	2.303262
1	113	2.328572
1	114	2.339063
1	115	2.343567
1	116	2.331597
1	117	2.312383
1	118	2.290201
1	119	2.264107
1	120	2.257267
1	121	2.217961
1	122	2.243794
1	123	2.231128
1	124	2.257932
1	125	2.293433
1	126	2.300053
1	127	2.288557
1	128	2.280867
1	129	2.246700
1	130	2.265437
1	131	2.267571
1	132	2.268513
1	133	2.286802
1	134	2.277497
1	135	2.281540
1	136	2.236517
1	137	2.208313
1	138	2.150838
1	139	2.161521
1	140	2.172245
1	141	2.194870
1	142	2.197095
1	143	2.196450
1	144	2.223370
1	145	2.223452
1	146	2.250254
1	147	2.263636
1	148	2.285883
1	149	2.277827
1	150	2.275018
1	151	2.296676
1	152	2.300027
1	153	2.299101
1	154	2.279308
1	155	2.263113
1	156	2.265323
1	157	2.250172
1	158	2.235133
1	159	2.220425
1	160	2.227223
1	161	2.236178
1	162	2.234699
1	163	2.223758
1	164	2.217913
1	165	2.195287
1	166	2.191988
1	167	2.214579
1	168	2.223650
1	169	2.246321
1	170	2.263756
1	171	2.259448
1	172	2.257956
1	173	2.265283
1	174	2.251418
1	175	2.221329
1	176	2.207777
1	177	2.182400
1	178	2.196242
1	179	2.187047
1	180	2.183503
1	181	2.191496
1	182	2.213402
1	183	2.224322
1	184	2.229331
1	185	2.233213
1	186	2.263239
1	187	2.257270
1	188	2.272245
1	189	2.264492
1	190	2.266551
1	191	2.255342
1	192	2.253000
1	193	2.222218
1	194	2.205332
1	195	2.209371
1	196	2.235684
1	197	2.233908
1	198	2.197152
1	199	2.168221
1	200	2.149028
1	201	2.175709
1	202	2.212054
1	203	2.223444
1	204	2.237161
1	205	2.245261
1	206	2.251740
1	207	2.275609
1	208	2.283900
1	209	2.270981
1	210	2.268505
1	211	2.287358
1	212	2.283555
1	213	2.298732
1	214	2.328274
1	215	2.346663
1	216	2.307175
1	217	2.261759
1	218	2.242385
1	219	2.158904
1	220	2.124843
1	221	2.079249
1	222	2.023426
1	223	2.018817
1	224	1.991026
1	225	1.955991
1	226	1.956600
1	227	1.916745
1	228	1.891021
1	229	1.861982
1	230	1.859111
1	231	1.857740
1	232	1.851085
1	233	1.863955
1	234	1.918212
1	235	1.954451
1	236	1.978135
1	237	1.974206
1	238	1.984342
1	239	1.972981
1	240	1.951461
1	241	1.913775
1	242	1.923034
1	243	1.904417
1	244	1.916376
1	245	1.900218
1	246	1.909202
1	247	1.926874
1	248	1.911234
1	249	1.904711
1	250	1.904541
1	251	1.900505
1	252	1.883172
1	253	1.882195
1	254	1.864208
1	255	1.852155
1	256	1.835973
1	257	1.869522
1	258	1.872403
1	259	1.831808
1	260	1.852780
1	261	1.870700
1	262	1.893056
1	263	1.898214
1	264	1.918997
1	265	1.906136
1	266	1.911415
1	267	1.880713
1	268	1.854965
1	269	1.806473
1	270	1.777635
1	271	1.785296
1	272	1.772532
1	273	1.753634
1	274	1.755845
1	275	1.762495
1	276	1.769957
1	277	1.758110
1	278	1.738301
1	279	1.754186
1	280	1.738973
1	281	1.705400
1	282	1.696464
1	283	1.663402
1	284	1.636590
1	285	1.643645
1	286	1.653295
1	287	1.651368
1	288	1.661538
1	289	1.665495
1	290	1.677905
1	291	1.693207
1	292	1.715814
1	293	1.724937
1	294	1.723987
1	295	1.709053
1	296	1.694634
1	297	1.689936
1	298	1.694305
1	299	1.706627
2	0	6.043661
2	1	5.990177
2	2	5.899274
2	3	5.733268
2	4	5.535761
2	5	5.386300
2	6	5.231436
2	7	5.102056
2	8	4.961673
2	9	4.792744
2	10	4.639309
2	11	4.489586
2	12	4.341645
2	13	4.195796
2	14	4.053468
2	15	3.935643
2	16	3.824160
2	17	3.739540
2	18	3.654750
2	19	3.596525
2	20	3.544775
2	21	3.508272
2	22	3.462443
2	23	3.415251
2	24	3.337476
2	25	3.303751
2	26	3.273721
2	27	3.239969
2	28	3.164472
2	29	3.119149
2	30	3.078424
2	31	3.027803
