trial	time_sec	distance
1	0	2.843618
1	1	2.886019
1	2	2.934722
1	3	2.946050
1	4	2.937722
1	5	2.931224
1	6	2.953993
1	7	2.933371
1	8	2.942445
1	9	3.011963
1	10	3.044383
1	11	3.038382
1	12	3.051018
1	13	3.095036
1	14	3.130334
1	15	3.149102
1	16	3.161034
1	17	3.181917
1	18	3.224000
1	19	3.233656
1	20	3.240332
1	21	3.215608
1	22	3.209908
1	23	3.223860
1	24	3.247836
1	25	3.291462
1	26	3.344827
1	27	3.378819
1	28	3.378121
1	29	3.389128
1	30	3.410258
1	31	3.426241
1	32	3.459207
1	33	3.483314
1	34	3.493569
1	35	3.523428
1	36	3.531429
1	37	3.539625
1	38	3.540234
1	39	3.528131
1	40	3.522788
1	41	3.530258
1	42	3.545150
1	43	3.595118
1	44	3.621047
1	45	3.610841
1	46	3.642146
1	47	3.660177
1	48	3.669995
1	49	3.704816
1	50	3.736802
1	51	3.744299
1	52	3.742815
1	53	3.781224
1	54	3.795217
1	55	3.807570
1	56	3.810421
1	57	3.800165
1	58	3.801739
1	59	3.791429
1	60	3.824139
1	61	3.866118
1	62	3.881411
1	63	3.864443
1	64	3.870041
1	65	3.903200
1	66	3.936862
1	67	3.948115
1	68	3.940994
1	69	3.954610
1	70	3.994194
1	71	4.002850
1	72	3.995410
1	73	3.986749
1	74	4.051250
1	75	4.060121
1	76	4.082087
1	77	4.088725
1	78	4.098573
1	79	4.137367
1	80	4.169513
1	81	4.209236
1	82	4.261373
1	83	4.299910
1	84	4.320105
1	85	4.331473
1	86	4.366704
1	87	4.402811
1	88	4.394214
1	89	4.425151
1	90	4.456590
1	91	4.507730
1	92	4.530534
1	93	4.553728
1	94	4.557381
1	95	4.582578
1	96	4.577445
1	97	4.580344
1	98	4.588929
1	99	4.593522
1	100	4.600337
1	101	4.590850
1	102	4.612553
1	103	4.616856
1	104	4.615375
1	105	4.656690
1	106	4.669322
1	107	4.653819
1	108	4.652050
1	109	4.657233
1	110	4.652859
1	111	4.640009
1	112	4.600119
1	113	4.563024
1	114	4.553125
1	115	4.555662
1	116	4.570334
1	117	4.565717
1	118	4.557637
1	119	4.565500
1	120	4.566960
1	121	4.551284
1	122	4.575155
1	123	4.596072
1	124	4.623338
1	125	4.607543
1	126	4.599883
1	127	4.597898
1	128	4.633548
1	129	4.639855
1	130	4.630696
1	131	4.627831
1	132	4.615151
1	133	4.607184
1	134	4.612983
1	135	4.607473
1	136	4.584685
1	137	4.566170
1	138	4.554253
1	139	4.509164
1	140	4.525717
1	141	4.554273
1	142	4.536613
1	143	4.552999
1	144	4.531852
1	145	4.554217
1	146	4.558345
1	147	4.570708
1	148	4.574014
1	149	4.588414
1	150	4.595515
1	151	4.589752
1	152	4.575524
1	153	4.552573
1	154	4.561193
1	155	4.579304
1	156	4.618205
1	157	4.635447
1	158	4.663523
1	159	4.672021
1	160	4.684971
1	161	4.691901
1	162	4.749722
1	163	4.796938
1	164	4.808548
1	165	4.834949
1	166	4.843002
1	167	4.829756
1	168	4.840352
1	169	4.852788
1	170	4.864599
1	171	4.882858
1	172	4.894502
1	173	4.886876
1	174	4.900543
1	175	4.913602
1	176	4.910232
1	177	4.904316
1	178	4.907425
