trial	time_sec	distance
1	0	2.725989
1	1	2.725190
1	2	2.664780
1	3	2.673218
1	4	2.681283
1	5	2.688054
1	6	2.661149
1	7	2.583088
1	8	2.506427
1	9	2.414037
1	10	2.300106
1	11	2.216366
1	12	2.089580
1	13	1.993650
1	14	1.872028
1	15	1.797046
1	16	1.686514
1	17	1.684553
1	18	1.651799
1	19	1.623409
1	20	1.578511
1	21	1.522582
1	22	1.482718
1	23	1.475184
1	24	1.493951
1	25	1.486860
1	26	1.491142
1	27	1.481719
1	28	1.468375
1	29	1.422614
1	30	1.417529
1	31	1.401254
1	32	1.367586
1	33	1.362522
1	34	1.372449
1	35	1.340279
1	36	1.325877
1	37	1.293615
1	38	1.236586
1	39	1.226231
1	40	1.218149
1	41	1.201991
1	42	1.159595
1	43	1.144357
1	44	1.141434
1	45	1.100868
1	46	1.072694
1	47	1.052484
1	48	1.021945
1	49	1.012932
1	50	0.962232
1	51	0.946835
1	52	0.907900
1	53	0.889028
1	54	0.925976
1	55	0.918251
1	56	0.888566
1	57	0.869239
1	58	0.863307
1	59	0.848820
1	60	0.793755
1	61	0.765402
1	62	0.742292
1	63	0.697471
1	64	0.699408
1	65	0.677970
1	66	0.648644
1	67	0.616263
1	68	0.569248
1	69	0.509547
1	70	0.449895
1	71	0.419494
1	72	0.385487
1	73	0.326760
1	74	0.265140
1	75	0.228442
1	76	0.164525
1	77	0.118738
1	78	0.117508
1	79	0.073204
1	80	0.014735
1	81	0.013246
1	82	0.019106
1	83	0.026082
1	84	0.013226
1	85	0.019686
1	86	0.020165
1	87	0.057100
1	88	0.047119
1	89	0.039559
1	90	0.056857
1	91	0.082123
1	92	0.096554
1	93	0.116006
1	94	0.129969
1	95	0.135565
1	96	0.119991
1	97	0.138098
1	98	0.145081
1	99	0.162074
1	100	0.179189
1	101	0.182771
1	102	0.193007
1	103	0.199369
1	104	0.192052
1	105	0.181245
1	106	0.170640
1	107	0.153337
1	108	0.174444
1	109	0.165237
1	110	0.180209
1	111	0.193849
1	112	0.190049
1	113	0.176015
1	114	0.166655
1	115	0.147902
1	116	0.133924
1	117	0.147108
1	118	0.125303
1	119	0.096963
1	120	0.114455
1	121	0.113288
1	122	0.134772
1	123	0.148236
1	124	0.155268
1	125	0.160838
1	126	0.135793
