trial	time_sec	distance
1	0	2.922820
1	1	2.929105
1	2	2.856492
1	3	2.787568
1	4	2.723761
1	5	2.633044
1	6	2.523849
1	7	2.419701
1	8	2.301467
1	9	2.185168
1	10	2.083943
1	11	1.963003
1	12	1.904254
1	13	1.894656
1	14	1.842365
1	15	1.808949
1	16	1.782782
1	17	1.732214
1	18	1.683716
1	19	1.661682
1	20	1.594550
1	21	1.546026
1	22	1.484243
1	23	1.435789
1	24	1.409803
1	25	1.369186
1	26	1.316863
1	27	1.295731
1	28	1.299607
1	29	1.293099
1	30	1.241637
1	31	1.178211
1	32	1.119383
1	33	1.038409
1	34	0.993317
1	35	0.931751
1	36	0.865950
1	37	0.797588
1	38	0.757250
1	39	0.665921
1	40	0.633710
1	41	0.579152
1	42	0.577118
1	43	0.581451
1	44	0.546081
1	45	0.472924
1	46	0.395202
1	47	0.357799
1	48	0.365229
1	49	0.354720
1	50	0.389705
1	51	0.425231
1	52	0.406844
1	53	0.436466
1	54	0.492618
1	55	0.536418
1	56	0.532895
1	57	0.547143
1	58	0.570431
1	59	0.587380
1	60	0.584416
1	61	0.576999
1	62	0.537078
1	63	0.544903
1	64	0.551153
1	65	0.543560
1	66	0.510662
1	67	0.464568
1	68	0.457682
1	69	0.437350
1	70	0.437774
1	71	0.397017
1	72	0.378945
1	73	0.347994
1	74	0.333762
1	75	0.330811
1	76	0.523928
1	77	0.628487
1	78	0.609186
1	79	0.632140
1	80	0.644329
1	81	0.678255
1	82	0.710977
1	83	0.803312
1	84	0.939313
1	85	0.968596
1	86	1.018320
1	87	1.064641
1	88	1.100492
1	89	1.137124
1	90	1.212106
1	91	1.261471
1	92	1.287219
1	93	1.312214
1	94	1.333726
1	95	1.354736
1	96	1.335754
1	97	1.355368
1	98	1.331348
1	99	1.337707
1	100	1.337058
1	101	1.347963
1	102	1.362792
1	103	1.369430
1	104	1.385501
1	105	1.414710
1	106	1.467547
1	107	1.465537
1	108	1.511710
1	109	1.557187
1	110	1.615045
1	111	1.665546
1	112	1.685167
1	113	1.716833
1	114	1.776794
1	115	1.833586
1	116	1.885243
1	117	1.944259
1	118	2.043507
1	119	2.102694
1	120	2.141789
1	121	2.183880
1	122	2.210058
1	123	2.284003
1	124	2.363342
1	125	2.422532
1	126	2.468178
1	127	2.499068
1	128	2.548694
1	129	2.576767
1	130	2.666518
1	131	2.691618
1	132	2.767147
1	133	2.822986
1	134	2.881420
1	135	2.932242
1	136	3.015566
1	137	3.074456
1	138	3.130292
1	139	3.181183
1	140	3.224863
1	141	3.270578
1	142	3.297141
1	143	3.314699
1	144	3.355578
1	145	3.375963
1	146	3.391878
1	147	3.388658
1	148	3.362665
1	149	3.361783
1	150	3.401409
1	151	3.418952
1	152	3.424906
1	153	3.428026
1	154	3.450771
1	155	3.452328
1	156	3.453234
1	157	3.453587
1	158	3.453383
1	159	3.445347
1	160	3.450803
1	161	3.457262
1	162	3.442253
1	163	3.449605
1	164	3.449178
1	165	3.453115
1	166	3.427508
1	167	3.398410
1	168	3.364941
1	169	3.325079
1	170	3.296543
1	171	3.252876
1	172	3.211869
1	173	3.187132
1	174	3.153510
1	175	3.111120
1	176	3.050117
1	177	3.007241
1	178	2.981496
1	179	2.940473
1	180	2.915400
1	181	2.887754
1	182	2.853070
1	183	2.813744
1	184	2.766627
1	185	2.742827
1	186	2.706319
1	187	2.641224
1	188	2.606793
1	189	2.561315
1	190	2.523762
1	191	2.523059
1	192	2.522048
1	193	2.496701
1	194	2.461768
1	195	2.449377
1	196	2.423629
1	197	2.390775
1	198	2.348342
1	199	2.318422
2	0	2.948525
2	1	2.869108
2	2	2.814678
2	3	2.759282
2	4	2.701430
2	5	2.612870
2	6	2.487853
2	7	2.389783
2	8	2.299192
2	9	2.250247
2	10	2.148457
2	11	2.044792
2	12	1.976692
2	13	1.926328
2	14	1.880618
2	15	1.865796
2	16	1.875973
2	17	1.851930
2	18	1.800962
2	19	1.720759
2	20	1.651536
2	21	1.569390
2	22	1.481844
2	23	1.390562
2	24	1.325892
2	25	1.240279
2	26	1.173340
2	27	1.129098
2	28	1.071560
2	29	1.005607
2	30	0.975094
2	31	0.951804
2	32	0.877262
2	33	0.792393
2	34	0.731958
2	35	0.710509
2	36	0.653812
2	37	0.591498
2	38	0.539041
2	39	0.477137
2	40	0.449857
2	41	0.410348
2	42	0.384311
2	43	0.343248
2	44	0.332735
2	45	0.298523
2	46	0.290816
2	47	0.285361
2	48	0.294161
2	49	0.285418
2	50	0.259494
2	51	0.235410
2	52	0.231686
2	53	0.227273
2	54	0.250140
2	55	0.263300
2	56	0.324272
2	57	0.374170
2	58	0.412541
2	59	0.445251
2	60	0.500089
2	61	0.512326
2	62	0.524712
2	63	0.619836
2	64	0.503694
2	65	0.655698
2	66	0.746247
2	67	0.806280
2	68	0.900657
2	69	1.023146
2	70	1.092436
2	71	1.162344
2	72	1.208050
2	73	1.247261
2	74	1.291950
2	75	1.294626
2	76	1.350639
2	77	1.409280
2	78	1.469022
2	79	1.533360
2	80	1.609046
2	81	1.681104
2	82	1.761976
2	83	1.834453
2	84	1.871096
2	85	1.927074
2	86	1.943419
2	87	1.976129
2	88	1.999263
2	89	2.004452
2	90	1.986420
2	91	1.938921
2	92	1.901249
2	93	1.881255
2	94	1.849789
2	95	1.847583
2	96	1.840636
2	97	1.822079
2	98	1.831843
2	99	1.802419
2	100	1.786553
2	101	1.756793
2	102	1.768389
2	103	1.780919
2	104	1.747692
2	105	1.751219
2	106	1.718747
2	107	1.684229
2	108	1.669038
2	109	1.623300
2	110	1.619553
2	111	1.615804
2	112	1.569361
2	113	1.533897
2	114	1.534457
2	115	1.488258
2	116	1.469170
2	117	1.428486
2	118	1.371405
2	119	1.375896
2	120	1.341229
2	121	1.307388
2	122	1.305209
2	123	1.267124
2	124	1.243724
2	125	1.233906
2	126	1.229687
2	127	1.231565
2	128	1.208629
2	129	1.194269
2	130	1.209177
2	131	1.223107
2	132	1.276082
2	133	1.296947
2	134	1.341575
2	135	1.385884
2	136	1.408884
2	137	1.448294
2	138	1.470232
2	139	1.503303
2	140	1.506133
2	141	1.514007
2	142	1.487931
2	143	1.493868
2	144	1.461633
2	145	1.423742
2	146	1.403077
2	147	1.365102
2	148	1.338899
2	149	1.309187
2	150	1.276355
2	151	1.245451
2	152	1.254141
2	153	1.231588
2	154	1.201159
2	155	1.205033
2	156	1.187026
2	157	1.216980
2	158	1.199440
2	159	1.172823
2	160	1.160465
2	161	1.159224
2	162	1.160265
2	163	1.166949
2	164	1.208948
2	165	1.274688
2	166	1.355930
2	167	1.381715
2	168	1.422804
2	169	1.442220
2	170	1.496209
2	171	1.523073
2	172	1.546001
2	173	1.598510
2	174	1.600938
2	175	1.628601
2	176	1.652534
2	177	1.658116
2	178	1.666937
2	179	1.692463
2	180	1.690428
2	181	1.704713
2	182	1.718551
2	183	1.710999
2	184	1.698883
2	185	1.678362
2	186	1.654877
2	187	1.643177
2	188	1.643320
2	189	1.672017
2	190	1.668429
2	191	1.674466
2	192	1.685840
2	193	1.667579
2	194	1.645311
2	195	1.638516
2	196	1.590898
2	197	1.540254
2	198	1.509934
2	199	1.494419
3	0	2.859063
3	1	2.814921
3	2	2.738289
3	3	2.658044
3	4	2.521539
3	5	2.407436
3	6	2.285846
3	7	2.148710
3	8	2.020273
3	9	1.896103
3	10	1.791493
3	11	1.670935
3	12	1.544978
3	13	1.438326
3	14	1.329075
3	15	1.233271
3	16	1.192682
3	17	1.121319
3	18	1.047212
3	19	1.040804
3	20	0.981456
3	21	0.883261
3	22	0.828514
3	23	0.777328
3	24	0.698314
3	25	0.644393
3	26	0.583137
3	27	0.553652
3	28	0.530119
3	29	0.493360
3	30	0.422198
3	31	0.366583
3	32	0.314836
3	33	0.269466
3	34	0.222695
3	35	0.160680
3	36	0.070644
3	37	0.045387
3	38	0.017351
3	39	0.017553
3	40	0.045083
3	41	0.039807
3	42	0.065293
3	43	0.111606
3	44	0.159975
3	45	0.187147
3	46	0.203132
3	47	0.214068
3	48	0.273974
3	49	0.341001
3	50	0.437376
3	51	0.534813
3	52	0.607040
3	53	0.636053
3	54	0.713026
3	55	0.777069
3	56	0.796078
3	57	0.843503
3	58	0.858662
3	59	0.874255
3	60	0.861931
3	61	0.856570
3	62	0.849673
3	63	0.820608
3	64	0.811397
3	65	0.802666
3	66	0.806992
3	67	0.809551
3	68	0.840973
3	69	0.854749
3	70	0.862845
3	71	0.888582
3	72	0.898635
3	73	0.877630
3	74	0.860761
3	75	0.809580
3	76	0.708321
3	77	0.593199
3	78	0.515414
3	79	0.476378
3	80	0.424439
3	81	0.352315
3	82	0.316750
3	83	0.310276
3	84	0.278063
3	85	0.248755
3	86	0.197695
3	87	0.163349
3	88	0.133727
3	89	0.099710
3	90	0.115643
3	91	0.159484
3	92	0.182965
3	93	0.187973
3	94	0.194284
3	95	0.192470
3	96	0.198186
3	97	0.220947
3	98	0.207217
3	99	0.209143
3	100	0.221756
3	101	0.221528
3	102	0.227856
3	103	0.238745
3	104	0.287919
3	105	0.362972
3	106	0.650576
3	107	0.760283
3	108	0.792885
3	109	0.865258
3	110	0.932261
3	111	0.994514
3	112	1.024359
3	113	1.023381
3	114	1.035111
3	115	1.049201
3	116	1.060882
3	117	1.057524
3	118	1.050945
3	119	1.038071
3	120	1.057455
3	121	1.051417
3	122	1.022644
3	123	0.984070
3	124	0.976635
3	125	0.960198
3	126	0.957094
3	127	0.965979
3	128	0.925817
3	129	0.885164
3	130	0.852795
3	131	0.804233
3	132	0.780724
3	133	0.770308
3	134	0.735725
3	135	0.715171
3	136	0.693515
3	137	0.719939
3	138	0.717297
3	139	0.750743
3	140	0.751352
3	141	0.788234
3	142	0.832803
3	143	0.843746
3	144	0.829848
3	145	0.817750
3	146	0.850541
3	147	0.881732
3	148	0.924975
3	149	0.950908
3	150	0.987146
3	151	1.017921
3	152	1.048096
3	153	1.048781
3	154	1.066988
3	155	1.093803
3	156	1.119646
3	157	1.141779
3	158	1.185691
3	159	1.259585
3	160	1.307924
3	161	1.350618
3	162	1.363887
3	163	1.365307
3	164	1.365090
3	165	1.365660
3	166	1.330099
3	167	1.315409
3	168	1.314001
3	169	1.310062
3	170	1.297154
3	171	1.290525
3	172	1.264243
3	173	1.216018
3	174	1.197446
3	175	1.186960
3	176	1.187042
3	177	1.182391
3	178	1.185242
3	179	1.173642
3	180	1.157068
3	181	1.130521
3	182	1.129091
3	183	1.157930
3	184	1.180745
3	185	1.145963
3	186	1.128094
3	187	1.101417
3	188	1.096490
3	189	1.056522
3	190	1.020786
3	191	1.004587
3	192	1.006958
3	193	0.970528
3	194	0.949857
3	195	0.926935
3	196	0.901466
3	197	0.898414
3	198	0.873828
3	199	0.884390
